,id,dev_id,id_route,date,hour,predicted_hour,type_record,latitude,longitude,predicted_latitude,predicted_longitude,speed,accx,accy,accz,gyrox,gyroy,gyroz,SF,BW,CR,RSSI
0,32,tarjeta1-cubecell,0,2022-12-23,0 days 14:58:10,0 days 14:58:10,1,2.450337,-76.625764,2.4501760347414,-76.62568539132,,,2.6632169354154,,,,0.0774012593175,,,,
1,33,tarjeta1-cubecell,0,2022-12-23,0 days 14:58:26,0 days 14:58:26,1,2.450452,-76.626531,2.4503420624237,-76.6263564516,,,4.662720975595,,,,1.2049591034998,,,,
2,34,tarjeta1-cubecell,0,2022-12-23,0 days 14:58:34,0 days 14:58:34,1,2.450444,-76.627006,2.4506511112087,-76.62727060178,,,5.0098553327183,,,,1.0998299724373,,,,
3,35,tarjeta1-cubecell,0,2022-12-23,0 days 14:58:47,0 days 14:58:47,1,2.450571,-76.627900,2.4507139680843,-76.62813060406,,,-1.540734961534,,,,-2.911042647692,,,,
4,36,tarjeta1-cubecell,0,2022-12-23,0 days 14:59:00,0 days 14:59:00,1,2.450924,-76.628590,2.4508290537373,-76.62867827262,,,-2.15769721841,,,,-3.451542422563,,,,
5,37,tarjeta1-cubecell,0,2022-12-23,0 days 14:59:15,0 days 14:59:15,1,2.451369,-76.629403,2.4510453538666,-76.62912087038,,,-1.085429887198,,,,-2.708546563146,,,,
6,38,tarjeta1-cubecell,0,2022-12-23,0 days 14:59:27,0 days 14:59:27,1,2.451723,-76.630034,2.451312697139,-76.62947346433,,,-0.145968446261,,,,-0.178274234988,,,,
7,39,tarjeta1-cubecell,0,2022-12-23,0 days 14:59:37,0 days 14:59:37,1,2.452084,-76.630672,2.4516711042896,-76.62992311736,,,2.4730791330427,,,,4.030779481819,,,,
8,40,tarjeta1-cubecell,0,2022-12-23,0 days 14:59:48,0 days 14:59:48,1,2.452385,-76.631187,2.4520524371965,-76.63050895705,,,2.5680920977458,,,,7.4609529621285,,,,
9,41,tarjeta1-cubecell,0,2022-12-23,0 days 14:59:58,0 days 14:59:58,1,2.452407,-76.631223,2.452456115555,-76.63116151858,,,-0.795775860307,,,,6.7737011329886,,,,
10,42,tarjeta1-cubecell,0,2022-12-23,0 days 15:00:09,0 days 15:00:09,1,2.452406,-76.631222,2.4525519953537,-76.63153372785,,,-1.321990495786,,,,5.0510331604031,,,,
11,43,tarjeta1-cubecell,0,2022-12-23,0 days 15:00:22,0 days 15:00:22,1,2.452418,-76.631256,2.4524890069288,-76.63170285435,,,-0.337534493507,,,,3.3283725733338,,,,
12,44,tarjeta1-cubecell,0,2022-12-23,0 days 15:00:31,0 days 15:00:31,1,2.452578,-76.631569,2.4524826360893,-76.63172780812,,,0.5096571078667,,,,0.4481744852439,,,,
13,45,tarjeta1-cubecell,0,2022-12-23,0 days 15:00:43,0 days 15:00:43,1,2.452651,-76.631707,2.4523690718763,-76.63170379437,,,1.7986805493015,,,,-0.975847213114,,,,
14,46,tarjeta1-cubecell,0,2022-12-23,0 days 15:01:04,0 days 15:01:04,1,2.452650,-76.631706,2.4521718534918,-76.63172815278,,,2.1545738138889,,,,-1.491020206384,,,,
15,47,tarjeta1-cubecell,0,2022-12-23,0 days 15:01:12,0 days 15:01:12,1,2.452650,-76.631706,2.4519597977707,-76.6318598729,,,2.0780609087606,,,,-0.555264219218,,,,
16,48,tarjeta1-cubecell,0,2022-12-23,0 days 15:01:25,0 days 15:01:25,1,2.452650,-76.631706,2.4515266300579,-76.6319781,,,1.0479353782422,,,,2.0402074463971,,,,
17,49,tarjeta1-cubecell,0,2022-12-23,0 days 15:01:39,0 days 15:01:39,1,2.452650,-76.631706,2.4508319116365,-76.63191919525,,,-2.463668663297,,,,3.4150489920454,,,,
18,50,tarjeta1-cubecell,0,2022-12-23,0 days 15:01:50,0 days 15:01:50,1,2.452650,-76.631706,2.4502834874935,-76.63173474888,,,-1.929008737571,,,,3.9860121750688,,,,
19,51,tarjeta1-cubecell,0,2022-12-23,0 days 15:02:05,0 days 15:02:05,1,2.452547,-76.632009,2.4498469536076,-76.63157762456,,,2.2926258004777,,,,3.9284346903828,,,,
20,52,tarjeta1-cubecell,0,2022-12-23,0 days 15:02:22,0 days 15:02:22,1,2.451686,-76.631998,2.4493547953501,-76.63109223394,,,1.8947026081631,,,,2.6808732854102,,,,
21,53,tarjeta1-cubecell,0,2022-12-23,0 days 15:02:31,0 days 15:02:31,1,2.451343,-76.631922,2.4489080249701,-76.63080054065,,,-2.2711692226,,,,-3.84358593529,,,,
22,54,tarjeta1-cubecell,0,2022-12-23,0 days 15:02:43,0 days 15:02:43,1,2.450901,-76.631484,2.4484704219504,-76.6305250922,,,-3.546074668561,,,,-1.719747798272,,,,
23,55,tarjeta1-cubecell,0,2022-12-23,0 days 15:02:54,0 days 15:02:54,1,2.450511,-76.631208,2.4480296676665,-76.63034996708,,,-1.062390022639,,,,0.5307408641623,,,,
24,56,tarjeta1-cubecell,0,2022-12-23,0 days 15:03:06,0 days 15:03:06,1,2.449903,-76.630965,2.4476750304675,-76.63016763606,,,0.0167604792973,,,,1.2832751178162,,,,
25,57,tarjeta1-cubecell,0,2022-12-23,0 days 15:03:19,0 days 15:03:19,1,2.449467,-76.630774,2.4473232440661,-76.62989960769,,,1.2315248829706,,,,-0.107755479452,,,,
